"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute","","",""
"CAMPAIGN_BUYING_TYPE","キャンペーン購入タイプ","Campaign buying type","campaignBuyingType","STRING",,"Attribute","運用型,予約型","Auction,Guaranteed",""
"PACKAGE_NAME","商品名","Package name","packageName","STRING",,"Attribute","","",""
"CAMPAIGN_LIFETIME_BUDGET","通期予算","Lifetime budget","campaignLifetimeBudget","DOUBLE",,"Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute","","",""
"CAMPAIGN_USER_STATUS","キャンペーン配信設定","Campaign delivery settings","campaignUserStatus","STRING",,"Attribute","オン,オフ","On,Off",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG",,"Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING",,"Attribute","","",""
"ADGROUP_USER_STATUS","広告グループ配信設定","Ad group delivery settings","adGroupUserStatus","STRING",,"Attribute","オン,オフ","On,Off",""
"AD_ID","広告ID","Ad ID","adID","LONG",,"Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING",,"Attribute","","",""
"AD_USER_STATUS","広告配信設定","Ad delivery settings","adUserStatus","STRING",,"Attribute","オン,オフ","On,Off",""
"AD_TYPE","広告タイプ","Ad type","adType","STRING",,"Attribute","テキスト,バナー,レスポンシブ,動的ディスプレイ,カルーセル,インストリーム,レスポンシブ（友だち追加）,カルーセル（友だち追加）,ブランドパネル クインティ,ブランドパネル パノラマ,トップインパクト スクエア,トップインパクト クインティ,トップインパクト パノラマ,トップインパクト プライムディスプレイ ダブル,トップインパクト パノラマ サイドビジョン,トップインパクト パノラマ サイドスイッチ,トップインパクト シアター,ブランドパネル パノラマ パネルスイッチ,トップインパクト パノラマ パネルスイッチ,トップページ トピックスPR,Talk Head View,Talk Head View Premium,ブランドパネル トップカバー,-","Text,Banner,Responsive,Dynamic display,Carousel,In-stream,Responsive (Gain friends),Carousel (Gain friends),Brand Panel Quintuple,Brand Panel Panorama,Top Impact Square,Top Impact Quintuple,Top Impact Panorama,Top Impact Prime Display Double,Top Impact Panorama Side Vision,Top Impact Panorama Side Switch,Top Impact Theater,Brand Panel Panorama Panel-switch,Top Impact Panorama Panel-switch,Top Page Topics PR,Talk Head View,Talk Head View Premium,Brand Panel Top Cover,-",""
"MAIN_MEDIA_FORMAT","メインメディアの形式","Main media format","mainMediaFormat","STRING",,"Attribute","-,画像,アニメーションGIF,動画","-,Image,Animated GIF,Video",""
"RESPONSIVE_ADS_TYPE","レスポンシブ広告入稿タイプ","Responsive ads type","responsiveAdsType","STRING",,"Attribute","アセット（複数素材）,固定","Assets (multiple elements),Fixed",""
"AD_TITLE","タイトル","Title","title","STRING",,"Attribute","","",""
"DESCRIPTION1","説明文1","Description 1","description1","STRING",,"Attribute","","",""
"DESCRIPTION2","説明文2","Description 2","description2","STRING",,"Attribute","","",""
"DISPLAY_URL","表示URL","Display URL","displayURL","STRING",,"Attribute","","",""
"DESTINATION_URL_CAMPAIGN_BANNER","リンク先URL（キャンペーンバナー）","Destination URL (campaign banner)","destinationURLCampaignBanner","STRING",,"Attribute","","",""
"APP_NAME","アプリ名","App Name","appName","STRING",,"Attribute","","",""
"APP_OS","アプリOS","App OS","appOS","STRING",,"Attribute","Android,iOS","Android,iOS",""
"APP_ID","アプリID/パッケージ名","App ID/Package name","appID","STRING",,"Attribute","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG",,"Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG",,"Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE",,"Metric","","",""
"COST","コスト","Cost","cost","DOUBLE",,"Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","avgCpc","DOUBLE",,"Metric","","",""
"AVG_DELIVER_RANK","平均掲載順位","Avg. position","avgPosition","DOUBLE",,"Metric","","",""
"AVG_CPM","平均CPM","Avg. CPM","avgCpm","DOUBLE",,"Metric","","",""
"AVG_VCPM","平均vCPM","Avg. vCPM","avgVCpm","DOUBLE",,"Metric","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG",,"Metric","","",""
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE",,"Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE",,"Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","LONG",,"Metric","","",""
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","convValuePerConv","DOUBLE",,"Metric","","",""
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. value/cost","convValuePerCost","DOUBLE",,"Metric","","",""
"CROSS_DEVICE_CONVERSIONS","クロスデバイスコンバージョン数","Cross-device conv.","crossDeviceConv","LONG",,"Metric","","",""
"CONV_VALUE_VIA_VIEW_THROUGH","ビュースルーコンバージョン数","View-through conversions","convValueViaViewThrough","LONG",,"Metric","","",""
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","ConversionsAll","LONG",,"Metric","","",""
"ALL_CONV_RATE","コンバージョン率（全て）","Conv. rate (all)","convRateAll","DOUBLE",,"Metric","","",""
"COST_PER_ALL_CONV","コスト/コンバージョン数（全て）","Cost/conv. (all)","costPerConvAll","DOUBLE",,"Metric","","",""
"ALL_CONV_VALUE","コンバージョンの価値（全て）","Conv. value (all)","convValueAll","LONG",,"Metric","","",""
"VALUE_PER_ALL_CONV","コンバージョンの価値（全て）/コンバージョン数（全て）","Conv. value (all)/conv. (all)","convValueAllPerConvAll","DOUBLE",,"Metric","","",""
"ALL_CONV_VALUE_PER_COST","コンバージョンの価値（全て）/コスト","Conv. value (all)/cost","convValueAllPerCost","DOUBLE",,"Metric","","",""
"CONVERSIONS_VIA_AD_CLICK","コンバージョン数（クリック経由）","Conversions (via click)","conversionsViaClick","LONG",,"Metric","","",""
"CONVERSION_RATE_VIA_AD_CLICK","コンバージョン率（クリック経由）","Conv. rate (via click)","convRateViaClick","DOUBLE",,"Metric","","",""
"COST_PER_CONV_VIA_AD_CLICK","コスト/コンバージョン数（クリック経由）","Cost/conv. (via click)","costPerConvViaClick","DOUBLE",,"Metric","","",""
